"ABANDONMENT RATE","Tasso di abbandono"
"April","aprile"
"August","agosto"
"Billing","fatturazione"
"COMPLETED CHECKOUT","COMPLETATO CHECKOUT"
"December","dicembre"
"ENTERED CHECKOUT","ENTRATO CHECKOUT"
"February","febbraio"
"January","gennaio"
"July","luglio"
"June","giugno"
"Login","Accedi"
"March","marzo"
"May","maggio"
"My Abandoned Cart %s is now available","My Abandoned Cart %s è ora disponibile"
"November","novembre"
"October","ottobre"
"Payment","pagamento"
"Review","recensione"
"September","Settembre"
"Shipping","spedizione"
"Shipping Method","Metodo di Spedizione"
"TIPS!:","CONSIGLI!:"
"Your version of My Abandoned Cart is currently not up-to-date. Please <a href=\"%s\">click here</a> to get the latest version.","La tua versione di My Abandoned Cart al momento non è up-to-date. per favore <a href=\"%s\">clicca qui</a> per ottenere la versione più recente."
