"ABANDONMENT RATE","Коэффициент прерывания"
"April","апрель"
"August","август"
"Billing","Биллинг"
"COMPLETED CHECKOUT","ЗАВЕРШЕНА ПРОВЕРКА"
"December","декабрь"
"ENTERED CHECKOUT","ВВЕДЕН Купить"
"February","февраль"
"January","январь"
"July","июль"
"June","июнь"
"Login","Войти"
"March","март"
"May","может"
"My Abandoned Cart %s is now available","My Abandoned Cart %s теперь доступен"
"November","ноябрь"
"October","октябрь"
"Payment","оплата"
"Review","Обзор"
"September","сентябрь"
"Shipping","судоходство"
"Shipping Method","Способ доставки"
"TIPS!:","СОВЕТЫ:"
"Your version of My Abandoned Cart is currently not up-to-date. Please <a href=\"%s\">click here</a> to get the latest version.","Ваша версия My Abandoned Cart не соответствующий современным требованиям. Пожалуйста, <a href=\"%s\">нажмите здесь</a>, чтобы получить последнюю версию."
